horror,#Horror,42,3.1,"November 20, 2015",101 min,Not Rated,Lowland Pictures,2,2,10
999,$9.99,68,6.8,"June 19, 2009",78 min,Rated R for language and brief sexuality and nudity.,Australian Film Finance Corporation (AFFC),12,3,2
pent,$pent,34,tbd,"July 21, 2000",91 min,,Spent LLC,1,0,1
71,'71,83,7.5,"February 27, 2015",99 min,"['Rated R for strong violence', 'disturbing images', 'and language throughout']",Warp Films,88,14,4
r-xmas,'R Xmas,55,6.9,"November 8, 2002",85 min,"['Rated R for strong language', 'drug content and some violence.']",Valence Films Inc.,6,2,0
500-days-of-summer,(500) Days of Summer,76,8.1,"July 17, 2009",95 min,Rated PG-13 for sexual material and language.,Fox Searchlight Pictures,647,68,46
plus-one,+1,60,6.1,"September 20, 2013",95 min,Not Rated,Process Productions,7,5,2
and-they-lived-happily-ever-after,...And They Lived Happily Ever After,58,6.6,"April 8, 2005",100 min,Unrated,Canal+,8,1,2
so-goes-the-nation,...So Goes the Nation,65,tbd,"October 4, 2006",90 min,Not Rated,Endgame Entertainment,3,0,0
1000-times-good-night,"1,000 Times Good Night",57,6.0,"October 24, 2014",117 min,Not Rated,Film i Väst,3,0,1
10-cent-pistol,10 Cent Pistol,37,6.5,"July 24, 2015",91 min,"['Rated R for violence', 'language throughout', 'some sexual references and drug use (rating surrendered)']",Route 17 Entertainment,2,1,1
10-cloverfield-lane,10 Cloverfield Lane,76,7.7,"March 11, 2016",104 min,"['Rated PG-13 for thematic material including frightening sequences of threat with some violence', 'and brief language']",Paramount Pictures,632,89,50
10-items-or-less,10 Items or Less,54,5.8,"December 1, 2006",82 min,Rated R for language.,Revelations Entertainment,13,5,6
10-things-i-hate-about-you,10 Things I Hate About You,70,6.9,"March 31, 1999",97 min,"['Rated PG-13 for crude sex-related humor and dialogue', 'alcohol and drug-related scenes', 'all involving teens.']",Touchstone Pictures,142,35,20
10-years,10 Years,61,6.5,"September 14, 2012",100 min,"['Rated R for sexual content', 'and language throughout.']",Temple Hill Entertainment,10,2,3
10000-bc,"10,000 BC",34,4.6,"March 7, 2008",109 min,Rated PG-13 for sequences of intense action and violence.,Warner Bros. Pictures,89,85,120
10000-km,"10,000 km",75,7.3,"July 10, 2015",99 min,"['Rated R for some strong sexual content including dialogue', 'language and brief graphic nudity']",Televisión Española (TVE),6,2,0
100-bloody-acres,100 Bloody Acres,63,tbd,"June 28, 2013",91 min,Not Rated,Cyan Films,3,0,0
100-streets,100 Streets,44,tbd,"January 13, 2017",93 min,,CrossDay Productions Ltd.,1,0,0
101-dalmatians,101 Dalmatians,49,5.8,"November 27, 1996",103 min,G,Walt Disney Pictures,28,64,11
102-dalmatians,102 Dalmatians,35,5.0,"November 22, 2000",100 min,G,Walt Disney Pictures,13,25,15
