horror,Brendan Walsh
horror,Jason Ludman
horror,Oren Segal
horror,Tara Subkoff
999,Amir Harel
999,Emile Sherman
pent,Gil Cates Jr.
pent,Jordan Summers
pent,Rana Joy Glickman
71,Angus Lamont
71,Robin Gutch
r-xmas,Pierre Kalfon
500-days-of-summer,Jessica Tuchinsky
500-days-of-summer,Mark Waters
500-days-of-summer,Mason Novick
500-days-of-summer,Steven J. Wolfe
plus-one,Tim Perell
and-they-lived-happily-ever-after,Claude Berri
so-goes-the-nation,Adam Del Deo
so-goes-the-nation,James D. Stern
1000-times-good-night,Finn Gjerdrum
1000-times-good-night,Stein B. Kvae
10-cent-pistol,Damon Alexander
10-cent-pistol,JT Alexander
10-cloverfield-lane,Bryan Burk
10-cloverfield-lane,J.J. Abrams
10-cloverfield-lane,Lindsey Weber
10-items-or-less,Brad Silberling
10-items-or-less,Julie Lynn
10-items-or-less,Lori McCreary
10-things-i-hate-about-you,Andrew Lazar
10-years,Channing Tatum
10-years,Marty Bowen
10-years,Reid Carolin
10-years,Wyck Godfrey
10000-bc,Dan Lin
10000-bc,Mark Gordon
10000-bc,Michael Wimer
10000-bc,Roland Emmerich
10000-km,Jana Diaz Juhl
10000-km,Sergi Moreno
10000-km,Tono Folguera
100-bloody-acres,Julie Ryan
100-bloody-acres,Kate Croser
100-streets,Idris Elba
100-streets,Leon Butler
100-streets,Pippa Cross
100-streets,Ros Hubbard
101-dalmatians,John Hughes
101-dalmatians,Ricardo Mestres
102-dalmatians,Edward S. Feldman
10th-wolf,Joseph D. Murphy
10th-wolf,Joseph Pistone
10th-wolf,Leo Rossi
10th-wolf,Suzanne DeLaurentiis
11-flowers,Didar Domehri
11-flowers,Dong Lu
11-flowers,Ga
11-flowers,Isabelle Glachant
11-flowers,Laurent Baudens
11-flowers,Xiaoshuai Wang
1114,Beau Flynn
1114,John Morrissey
12-rounds,Josh McLaughlin
12-rounds,Mark Gordon
12-rounds,Michael Lake
twelve-years-a-slave,Anthony Katagas
twelve-years-a-slave,Arnon Milchan
twelve-years-a-slave,Bill Pohlad
twelve-years-a-slave,Brad Pitt
twelve-years-a-slave,Dede Gardner
twelve-years-a-slave,Jeremy Kleiner
twelve-years-a-slave,Steve McQueen
127-hours,Christian Colson
127-hours,Danny Boyle
127-hours,John Smithson
13-assassins,Michihiko Yanagisawa
13-assassins,Minami Ichikawa
13-assassins,Tôichirô Shiraishi
13-cameras,Benjamin Wiessner
13-cameras,Ethan Rosenberg
13-cameras,Jim Cummings
13-cameras,Kevin McManus
13-cameras,Matthew McManus
13-cameras,Tony Yacenda
13-going-on-30,Donna Roth
13-going-on-30,Gina Matthews
13-going-on-30,Susan Arnold
13-hours-the-secret-soldiers-of-benghazi,Erwin Stoff
13-hours-the-secret-soldiers-of-benghazi,Michael Bay
13-tzameti,Fanny Saadi
13-tzameti,Géla Babluani
13-tzameti,Jean-Baptiste Legrand
14-blades,Cui Xiao-Wen
14-blades,Si Jian-Jun
14-blades,Susanna Tsang
14-blades,Tianyun Wang
14-blades,Wang Qi-Shun
14-blades,Xiang Dong
14-blades,Xu Ping-An
14-blades,Yi'an Sun
14-blades,Zhang He-Yun
14-blades,Zhang Hong
14-blades,Zhao Ping
1408,Lorenzo di Bonaventura
15-minutes,David Blocker
15-minutes,John Herzfeld
15-minutes,Keith Addis
15-minutes,Nick Wechsler
15-the-movie,Eric Khoo
15-the-movie,Tan Fong Cheng
16-acres,Mike Marcucci
16-blocks,Arnold Rifkin
16-blocks,Avi Lerner
16-blocks,Jim Van Wyck
16-blocks,John Thompson
16-blocks,Randall Emmett
16-years-of-alcohol,Mark Burton
16-years-of-alcohol,Richard Jobson
17-again,Adam Shankman
17-again,Jennifer Gibgot
1911,Jackie Chan
1971,Johanna Hamilton
1971,Katy Chevigny
1971,Marilyn Ness
first-night,Selwyn Roberts
first-night,Stephen Evans
2-days-in-new-york,Christophe Mazodier
2-days-in-new-york,Hubert Toint
2-days-in-new-york,Jean-Jacques Neira
2-days-in-new-york,Scott Franklin
2-days-in-new-york,Ulf Israel
2-days-in-paris,Christophe Mazodier
2-days-in-paris,Julie Delpy
2-days-in-paris,Thierry Potok
2-fast-2-furious,Neal H. Moritz
2-guns,Adam Siegel
2-guns,Andrew Cosby
2-guns,George Furla
2-guns,Marc Platt
2-guns,Norton Herrick
2-guns,Randall Emmett
2-guns,Ross Richie
20-centimeters,Iker Monfort
20-centimeters,José María Calleja
twenty-feet-from-stardom,Caitrin Rogers
twenty-feet-from-stardom,Gil Friesen
twenty-feet-from-stardom,Morgan Neville
200-cigarettes,Betsy Beers
200-cigarettes,David Gale
200-cigarettes,Van Toffler
2001-a-space-odyssey,Stanley Kubrick
2009-lost-memories,Shinichiro Nakata
2009-lost-memories,Yoon Young Kim
2009-lost-memories,Yoon-young Kim
2012,Harald Kloser
2012,Larry J. Franco
2012,Roland Emmerich
2046,Kar Wai Wong
20th-century-women,Anne Carey
20th-century-women,Geoff Linville
20th-century-women,Megan Ellison
20th-century-women,Youree Henley
21,Dana Brunetti
21,Kevin Spacey
21,Michael De Luca
21-and-over,Andy Yan
21-and-over,David Hoberman
21-and-over,Hugo Shong
21-and-over,Ryan Kavanaugh
21-and-over,Todd Lieberman
21-grams,Alejandro González Iñárritu
21-grams,Robert Salerno
21-jump-street,Neal H. Moritz
21-jump-street,Stephen J. Cannell
21-years-richard-linklater,Melanie Miller
21-years-richard-linklater,Michael Dunaway
21-years-richard-linklater,Tara Wood
22-jump-street,Channing Tatum
22-jump-street,Jonah Hill
22-jump-street,Neal H. Moritz
23-blast,Dylan Baker
23-blast,Gary Donatelli
23-blast,Toni Hoover
24-days,Alexandre Arcady
24-hour-party-people,Andrew Eaton
24-hours-on-craigslist,Michael Ferris Gibson
25th-hour,Jon Kilik
25th-hour,Julia Chasman
25th-hour,Spike Lee
25th-hour,Tobey Maguire
27-dresses,Gary Barber
27-dresses,Jonathan Glickman
27-dresses,Roger Birnbaum
28-days,Jenno Topping
28-days-later,Andrew Macdonald
28-hotel-rooms,Louise Runge
28-hotel-rooms,Lynette Howell
28-hotel-rooms,Samantha Housman
28-weeks-later,Allon Reich
28-weeks-later,Andrew Macdonald
28-weeks-later,Enrique López Lavigne
three,Stefan Arndt
3-dancing-slaves,Philippe Jacquier
