horror,Tara Subkoff
999,Etgar Keret
999,Tatia Rosenthal
pent,Gil Cates Jr.
71,Gregory Burke
r-xmas,Abel Ferrara
r-xmas,Cassandra De Jesus
r-xmas,Scott Pardo
500-days-of-summer,Michael H. Weber
500-days-of-summer,Scott Neustadter
plus-one,Bill Gullo
plus-one,Dennis Iliadis
and-they-lived-happily-ever-after,Yvan Attal
1000-times-good-night,Erik Poppe
1000-times-good-night,Harald Rosenl
1000-times-good-night,Harald Rosenløw-Eeg
1000-times-good-night,Kirsten Sheridan
10-cent-pistol,Michael C. Martin
10-cloverfield-lane,Damien Chazelle
10-cloverfield-lane,Drew Goddard
10-cloverfield-lane,Josh Campbell
10-cloverfield-lane,Matthew Stuecken
10-items-or-less,Brad Silberling
10-things-i-hate-about-you,Karen McCullah Lutz
10-things-i-hate-about-you,Kirsten Smith
10-things-i-hate-about-you,William Shakespeare
10-years,Jamie Linden
10000-bc,Harald Kloser
10000-bc,Roland Emmerich
10000-km,Carlos Marques-Marcet
10000-km,Clara Roquet
10000-km,David Verdaguer
10000-km,Natalia Tena
100-bloody-acres,Cameron Cairnes
100-bloody-acres,Colin Cairnes
100-streets,Leon Butler
101-dalmatians,Dodie Smith
101-dalmatians,John Hughes
102-dalmatians,Bob Tzudiker
102-dalmatians,Brian Regan
102-dalmatians,Dodie Smith
102-dalmatians,Kristen Buckley
102-dalmatians,Noni White
10th-wolf,Allan Steele
10th-wolf,Robert Moresco
11-flowers,Lao Ni
11-flowers,Ni Lao
11-flowers,Xiaoshuai Wang
1114,Greg Marcks
12-rounds,Daniel Kunka
twelve-years-a-slave,John Ridley
twelve-years-a-slave,Solomon Northup
twelve-years-a-slave,Steve McQueen
127-hours,Aron Ralston
127-hours,Danny Boyle
127-hours,Simon Beaufoy
13-assassins,Daisuke Tengan
13-assassins,Kaneo Ikegami
13-cameras,Victor Zarcoff
13-going-on-30,Cathy Yuspa
13-going-on-30,Josh Goldsmith
13-hours-the-secret-soldiers-of-benghazi,Chuck Hogan
13-hours-the-secret-soldiers-of-benghazi,Mitchell Zuckoff
13-tzameti,Géla Babluani
14-blades,Abe Kwong
14-blades,Daniel Lee
14-blades,Daniel Lee
14-blades,Ho Leung Lau
14-blades,Siu Cheung Chan
14-blades,Tin Shu Mak
1408,Larry Karaszewski
1408,Matt Greenberg
1408,Scott Alexander
1408,Stephen King
15-minutes,John Herzfeld
15-the-movie,Royston Tan
16-blocks,Richard Wenk
16-years-of-alcohol,Richard Jobson
17-again,Jason Filardi
1971,Gabriel Rhodes
1971,Johanna Hamilton
first-night,Christopher Menaul
first-night,Jeremy Sams
2-days-in-new-york,Aleksia Landeau
2-days-in-new-york,Alexandre Nahon
2-days-in-new-york,Julie Delpy
2-days-in-paris,Julie Delpy
2-fast-2-furious,Derek Haas
2-fast-2-furious,Gary Scott Thompson
2-fast-2-furious,Michael Brandt
2-guns,Blake Masters
2-guns,Steven Grant
20-centimeters,Ramón Salazar
200-cigarettes,Shana Larsen
2001-a-space-odyssey,Arthur C. Clarke
2001-a-space-odyssey,Stanley Kubrick
2009-lost-memories,Sang-hak Lee
2009-lost-memories,Si-myung Lee
2012,Harald Kloser
2012,Roland Emmerich
2046,Kar Wai Wong
20th-century-women,Mike Mills
21,Allan Loeb
21,Ben Mezrich
21,Peter Steinfeld
21-and-over,Jon Lucas
21-and-over,Scott Moore
21-grams,Guillermo Arriaga
21-jump-street,Jonah Hill
21-jump-street,Michael Bacall
21-jump-street,Patrick Hasburgh
21-jump-street,Stephen J. Cannell
21-years-richard-linklater,Michael Dunaway
21-years-richard-linklater,Tara Wood
22-jump-street,Jonah Hill
22-jump-street,Michael Bacall
22-jump-street,Oren Uziel
22-jump-street,Patrick Hasburgh
22-jump-street,Rodney Rothman
22-jump-street,Stephen J. Cannell
23-blast,Bram Hoover
23-blast,Toni Hoover
24-days,Alexandre Arcady
24-days,Antoine Lacomblez
24-days,Emilie Frèche
24-hour-party-people,Frank Cottrell Boyce
25th-hour,David Benioff
27-dresses,Aline Brosh McKenna
28-days,Susannah Grant
28-days-later,Alex Garland
28-hotel-rooms,Matt Ross
28-weeks-later,Enrique López Lavigne
28-weeks-later,Jesús Olmo
28-weeks-later,Juan Carlos Fresnadillo
28-weeks-later,Rowan Joffe
three,Tom Tykwer
3-dancing-slaves,Christophe Honoré
3-dancing-slaves,Gaël Morel
three-days-to-kill,Adi Hasak
three-days-to-kill,Luc Besson
3-geezers!,Eric Radzan
3-geezers!,Randle Schumacher
3-geezers!,Tony Cummings
3-hearts,Benoît Jacquot
3-hearts,Julien Boivent
3-idiots,Abhijit Joshi
3-idiots,Rajkumar Hirani
3-idiots,Vidhu Vinod Chopra
3-needles,Thom Fitzgerald
3-strikes,DJ Pooh
3-women,Patricia Resnick
3-women,Robert Altman
3-2-1-frankie-go-boom,Jordan Roberts
3-iron,Ki-duk Kim
30-days-of-night,Ben Templesmith
30-days-of-night,Brian Nelson
